ID,지역,도서관명,상호대차 유무,순회사서 유무,지원 여부,지원인력,지원예산,지원장서,지원프로,외부대출여부,대출도서 전용프로그램 여부,전용프로그램 공공도서관 연계 여부,연간 도서대출 권수,연간 증가 장서 수,총 보유 장서 수,연간 증가 연속간행물 수,현재 총 보유 연속간행물 수,건물면적,열람석,PC 유무,관리자용 컴퓨터,이용자용 컴퓨터,연간 총 이용자 수,1일 평균 이용자 수,회원등록자 수,총직원,총봉사자,자격증직원,자격증봉사자,도서구입비,인건비,운영비,합계,실시여부,독서프로수,독서프로실시횟수,독서프로참가자수,문화프로수,문화프로실시횟수,문화프로참가자수
1525,경남,삼계로얄작은도서관,1,1,1,1,20400000,0,3,1,1,1,11407,565,8385,1,2,135,15,1,1,1,9390,30,4200,1,21,0,0,4320090,13457120,5647480,23424690,1,9,334,289,8,384,187
1526,경남,삼계푸르지오작은도서관,1,1,1,1,20400000,0,4,1,1,1,3431,0,9584,0,0,157,50,1,2,1,10440,40,4200,1,7,0,0,1700000,16300000,2400000,20400000,1,0,0,0,10,48,158
1527,경남,삼성한마음작은도서관,1,0,1,0,11000000,0,0,1,1,1,5427,740,6261,0,2,127,40,1,1,0,5865,23,176,0,5,0,0,5000000,6000000,6000000,17000000,1,1,12,120,4,172,1731
1528,경남,삼익아파트마을도서관,0,0,0,0,0,0,0,1,1,0,500,1200,4500,1,1,40,30,1,1,1,2610,10,290,0,8,0,0,120000,0,0,120000,1,0,0,0,5,240,1440
1529,경남,삼한노인대학 작은도서관,0,0,1,0,6400000,0,0,1,1,1,2779,377,4901,0,0,158,50,1,1,0,2174,6,495,0,6,0,0,3400000,3000000,0,6400000,0,0,0,0,0,0,0
1530,경남,상곡 어울림 작은 도서관,0,0,0,0,0,0,0,1,1,0,3868,792,7642,0,8,188,33,1,2,1,15650,50,1938,1,0,1,0,6000000,13800000,6600000,26400000,1,1,48,288,4,192,1152
1531,경남,상남평생교육센터,0,0, ,0,0,0,0,1,1,0,17263,342,13038,0,7,75,18,1,2,2,21900,60,9373,2,12,1,0,6000000,30000000,9600000,45600000,1,1,12,72,4,10,150
1532,경남,상대1동 새마을문고 현대분소,0,0,0,0,0,0,0,0, , ,0,0,3000,0,0,150,45,0,0,0,783,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1533,경남,상대1동 열린 작은도서관,0,0,0,0,0,0,0,0, , ,0,500,2000,0,0,46,20,0,0,0,5220,20,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
1534,경남,상대2동새마을문고,0,0,1,0,40000,0,1,1,1,0,730,300,4200,0,0,34,8,1,1,0,720,3,130,0,10,0,0,3000000,0,0,3000000,1,1,4,100,0,0,0
1535,경남,상대한보 아파트 작은도서관,0,0,0,0,0,0,0,0, , ,0,0,1000,0,0,70,20,0,0,0,260,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1536,경남,상록농촌문화도서관,0,0,0,0,0,0,0,1,0,0,2,0,1000,0,0,66,20,1,1,1,730,2,7,1,1,0,0,200000,0,150000,350000,1,2,2,20,2,2,20
1537,경남,상봉동 봉원 새마을 문고,0,0,1,0,3000000,0,0,1,0,0,2000,191,2500,0,0,33,6,0,0,0,1800,10,0,0,25,0,0,3000000,0,0,3000000,1,1,1,63,0,0,0
1538,경남,상봉동동2 새마을문고,0,0,0,0,0,0,0,0, , ,0,0,4500,0,0,33,6,0,0,0,157,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1539,경남,상봉동새마을작은도서관,0,0,0,0,0,0,0,0, , ,0,0,4500,0,0,49,25,0,0,0,157,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1540,경남,상봉봉동자율방범대 새마을문고,0,0,0,0,0,0,0,0, , ,0,0,2000,0,0,42,20,0,0,0,157,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1541,경남,상평동 새마을작은도서관,0,0,0,0,0,0,0,1,0,0,1000,130,4500,0,0,43,24,0,0,0,300,1,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
1542,경남,상평동일스위트혜윰문고,0,0,1,0,4000000,0,1,1,0,0,5000,382,4500,0,0,74,30,1,1,0,3915,15,30,0,19,0,0,3000000,0,0,3000000,1,1,1,30,0,0,0
1543,경남,새마을문고 동신아파트 작은도서관,0,0,0,0,0,0,0,1,0,0,400,113,1474,0,0,35,15,0,0,0,942,6,160,0,0,0,0,1100000,0,2300000,3400000,1,1,6,30,3,3,45
1544,경남,새마을문고 작은도서관,0,0,1,0,3000000,0,0,1,1,0,1000,300,5000,0,0,274,20,0,0,0,2610,10,0,0,0,0,0,3200000,0,0,3200000,0,0,0,0,0,0,0
1545,경남,새마을문고 작은도서관,0,0,0,0,0,0,0,1,0,0,100,0,1020,0,0,33,10,1,1,0,100,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1546,경남,새마을문고센터,0,0,1,0,1000000,0,0,1,0,0,127,100,4200,2,5,165,40,1,1,0,261,1,0,1,0,0,0,1000000,0,0,1000000,0,0,0,0,0,0,0
1547,경남,새마을문고현대아파트도서관,1,1,1,1,2000000,0,0,1,0,0,1102,300,1920,0,0,99,8,1,1,0,1878,6,161,1,3,0,0,2000000,0,0,2000000,0,0,0,0,0,0,0
1548,경남,새마을시범문고,0,0,0,0,0,0,0,1,0,0,50,0,5500,0,0,33,16,1,1,0,1044,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1549,경남,새순어린이도서관,0,0,0,0,0,0,0,1,1,0,5021,150,8748,1,1,125,40,1,1,0,3443,11,3503,0,16,0,0,4000000,0,4000000,8000000,1,1,20,23,4,40,25
1550,경남,새싹작은도서관,0,0,0,0,0,0,0,0, , ,0,0,1300,0,0,72,20,0,0,0,2920,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1551,경남,새통영작은도서관,0,0,0,0,0,0,0,0, , ,0,0,1500,0,0,36,16,0,0,0,530,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1552,경남,샛별도서관,0,0,0,0,0,0,0,1,0,0,50,350,7000,2,2,90,30,1,1,0,350,3,0,1,0,0,0,3000000,0,0,3000000,0,0,0,0,0,0,0
1553,경남,생각을 키우는 작은 도서관,0,0,1,0,6400000,0,0,1,1,0,1400,395,5000,0,1,87,40,1,1,0,1305,5,312,0,3,0,0,3400000,3000000,0,6400000,0,0,0,0,0,0,0
1554,경남,생각이크는작은도서관,1,0,1,0,20400000,0,0,1,1,1,9500,306,6206,0,0,118,16,1,1,1,15660,60,4200,1,0,0,0,1513200,14040950,4845850,20400000,1,8,8,160,4,4,80
1555,경남,생초면 새마을문고,0,0,0,0,0,0,0,1,0,0,180,18,1050,0,0,33,16,0,0,0,522,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1556,경남,서하면새마을문고,0,0,0,0,0,0,0,1,1,0,121,300,2300,0,0,83,15,1,1,0,522,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
