지역,도서관명,건물면적,열람석,PC 유무,관리자용 컴퓨터,이용자용 컴퓨터
경기 용인시,금화작은도서관,70,50,있다,1,0
경기 화성시,기아행복마루작은도서관,162,80,있다,2,2
경기 부천시,길벗작은도서관,99,24,있다,2,3
경기 시흥시,길벗작은도서관,36,12,있다,1,0
경기 화성시,꽃담,130,35,있다,1,2
경기 화성시,꽃동산 작은도서관,66,18,없다,0,0
경기 안산시,꽃우물 작은도서관,75,30,있다,1,1
경기 화성시,꽃초롱,76,40,있다,1,3
경기 안성시,꽃피는도서관,150,12,있다,1,0
경기 남양주시,꿈 이안 작은도서관,63,20,있다,1,0
경기 성남시,꿈&휴도서관,148,31,있다,1,0
경기 남양주시,꿈그린작은도서관,154,60,있다,1,1
경기 안양시,꿈꾸는,33,6,없다,0,0
경기 하남시,꿈꾸는 달팽이 작은도서관,74,30,있다,2,1
경기 하남시,꿈꾸는 에코 작은도서관 ,46,25,있다,1,0
경기 용인시,꿈꾸는 작은도서관,140,40,있다,2,0
경기 안산시,꿈꾸는 작은도서관,67,50,있다,2,3
경기 광명시,꿈꾸는나무 작은도서관,39,24,있다,1,0
경기 화성시,꿈꾸는도서관,85,26,있다,1,0
경기 연천군,꿈꾸는문고,33,8,없다,0,0
경기 부천시,꿈꾸는새싹도서관,126,13,있다,2,2
경기 구리시,꿈꾸는작은도서관,135,70,있다,1,0
경기 파주시,꿈꾸는작은도서관,33,10,있다,1,0
경기 화성시,꿈나래문고 작은도서관,100,34,있다,1,0
경기 안양시,꿈나무,66,20,있다,1,1
경기 화성시,꿈나무 영어 작은도서관,34,12,있다,1,1
경기 부천시,꿈나무가족도서관,209,47,있다,2,1
경기 안산시,꿈나무작은도서관,58,8,있다,1,0
경기 시흥시,꿈나무작은도서관,194,30,있다,1,2
경기 화성시,꿈나무작은도서관,99,50,있다,2,1
경기 성남시,꿈너비작은도서관,99,50,있다,1,0
경기 화성시,꿈누리,90,26,있다,1,2
경기 용인시,꿈누리도서관,81,30,있다,1,0
경기 수원시,꿈동산 문고,115,40,있다,1,1
경기 군포시,꿈드림작은도서관,33,12,있다,1,0
경기 양주시,꿈드림작은도서관,99,20,있다,1,0
경기 안양시,꿈마루,346,40,있다,2,2
경기 용인시,꿈마루도서관,91,40,있다,1,1
경기 김포시,꿈마을문고,231,120,없다,0,0
경기 광주시,꿈마을작은도서관,165,30,있다,1,1
경기 양주시,꿈모리작은도서관,115,32,있다,1,0
경기 용인시,꿈모아도서관,75,10,있다,2,0
경기 오산시,꿈밀림도서관,80,48,없다,0,0
경기 안산시,꿈바라기 작은도서관,130,26,있다,1,3
경기 부천시,꿈사랑작은도서관,101,50,있다,1,0
경기 용인시,꿈샘도서관,81,32,있다,1,1
경기 시흥시,꿈샘작은도서관,89,32,있다,3,2
경기 김포시,꿈에그린 도서관,58,40,있다,1,0
경기 오산시,꿈에그린 도서관,147,23,있다,1,3
경기 안산시,꿈을 주는 작은도서관,263,36,있다,2,2
경기 안산시,꿈을 키우는 작은도서관,155,35,있다,2,2
경기 광명시,꿈을찾는 작은영어도서관,33,15,있다,1,0
경기 부천시,꿈의지우 작은도서관,109,10,있다,1,2
경기 광명시,꿈이 열리는 작은도서관,38,24,없다,0,0
경기 고양시,꿈이 있는 숲 도서관,35,20,있다,1,0
경기 수원시,꿈이 자라는 마을,50,25,있다,1,0
경기 안양시,꿈이있는,49,10,있다,1,0
경기 용인시,꿈이자라는 땅,78,50,있다,1,1
경기 용인시,꿈이자라는도서관,52,50,있다,1,0
경기 하남시,꿈자람 작은도서관,85,40,있다,0,1
경기 광주시,꿈자람도서관,59,25,있다,1,0
경기 광주시,꿈자람어린이도서관,78,7,있다,1,0
경기 평택시,꿈쟁이 작은도서관(하북작은도서관에서 명칭변경),132,20,있다,1,1
경기 군포시,꿈쟁이도서관,303,137,있다,1,2
경기 화성시,꿈쟁이사립문고,58,50,있다,1,2
경기 광명시,꿈크리 작은도서관,90,26,있다,1,1
경기 안양시,꿈터,49,11,있다,0,1
경기 오산시,꿈터도서관,55,20,있다,2,5
경기 안양시,나누미,45,7,있다,1,0
경기 의정부시,나누미작은도서관,66,20,있다,1,1
경기 연천군,나눔과기쁨 대광북카페,55,6,있다,0,1
경기 수원시,나눔도서관,110,40,있다,2,10
경기 의정부시,나눔작은도서관,33,15,있다,0,2
경기 수원시,나란다 도서관,50,10,있다,1,1
경기 화성시,나루꿈에그린 작은도서관,132,30,있다,1,1
경기 부천시,나무숲작은도서관,50,30,없다,0,0
경기 고양시,나무와열매문고,58,50,있다,1,0
경기 수원시,나무터작은도서관,105,30,있다,1,0
경기 성남시,나침반 작은도서관,108,30,있다,1,0
경기 용인시,남사면 작은도서관,90,37,있다,1,5
경기 고양시,낮은하늘어린이도서관,115,40,있다,2,0
경기 안양시,내방새,100,48,있다,0,2
경기 의왕시,내손e편한세상 도서관,116,40,있다,1,5
경기 의왕시,내손책고운도서관,231,70,있다,3,4
경기 포천시,내촌작은도서관,68,9,있다,1,1
경기 광명시,넓은세상 작은도서관,66,30,있다,1,0
경기 광명시,넝쿨 어린이 작은도서관,65,30,있다,1,0
경기 성남시,넥슨작은책방 도서관,105,6,없다,0,0
경기 군포시,노루목작은도서관,90,46,있다,1,1
경기 의정부시,녹양동작은도서관,99,15,있다,2,1
경기 성남시,논골작은도서관,285,50,있다,1,6
경기 화성시,놀러와,83,22,있다,1,0
경기 군포시,농심,61,6,있다,1,0
