지역,도서관명,연간 증가 장서 수,총 보유 장서 수,연간 증가 연속간행물 수,현재 총 보유 연속간행물 수
경기 김포시,꿈마을문고,200,3680,0,2
경기 광주시,꿈마을작은도서관,1500,1500,1,1
경기 양주시,꿈모리작은도서관,1402,5753,2,2
경기 용인시,꿈모아도서관,1086,9386,4,4
경기 오산시,꿈밀림도서관,0,2136,0,0
경기 안산시,꿈바라기 작은도서관,2000,2000,0,0
경기 부천시,꿈사랑작은도서관,0,2000,0,0
경기 용인시,꿈샘도서관,800,5020,0,0
경기 시흥시,꿈샘작은도서관,0,2010,0,0
경기 김포시,꿈에그린 도서관,287,4147,0,2
경기 오산시,꿈에그린 도서관,260,3000,0,0
경기 안산시,꿈을 주는 작은도서관,676,20435,0,2
경기 안산시,꿈을 키우는 작은도서관,1500,10852,0,12
경기 광명시,꿈을찾는 작은영어도서관,1100,1100,0,0
경기 부천시,꿈의지우 작은도서관,637,3200,0,0
경기 광명시,꿈이 열리는 작은도서관,30,2200,1,3
경기 고양시,꿈이 있는 숲 도서관,300,3000,0,0
경기 수원시,꿈이 자라는 마을,300,1800,0,0
경기 안양시,꿈이있는,293,5657,0,0
경기 용인시,꿈이자라는 땅,100,9000,0,0
경기 용인시,꿈이자라는도서관,600,10600,1,3
경기 하남시,꿈자람 작은도서관,782,7168,3,4
경기 광주시,꿈자람도서관,900,4760,1,2
경기 광주시,꿈자람어린이도서관,0,5000,0,0
경기 평택시,꿈쟁이 작은도서관(하북작은도서관에서 명칭변경),200,7350,2,8
경기 군포시,꿈쟁이도서관,1196,7796,4,4
경기 화성시,꿈쟁이사립문고,150,6500,4,8
경기 광명시,꿈크리 작은도서관,700,4500,1,1
경기 안양시,꿈터,220,6457,0,0
경기 오산시,꿈터도서관,50,1550,0,0
경기 안양시,나누미,174,5193,0,0
경기 의정부시,나누미작은도서관,108,5075,0,11
경기 연천군,나눔과기쁨 대광북카페,100,1700,0,0
경기 수원시,나눔도서관,1500,5000,2,6
경기 의정부시,나눔작은도서관,118,5194,0,4
경기 수원시,나란다 도서관,200,2000,5,20
경기 화성시,나루꿈에그린 작은도서관,386,5059,3,3
경기 부천시,나무숲작은도서관,0,1179,0,0
경기 고양시,나무와열매문고,400,13194,0,3
경기 수원시,나무터작은도서관,0,1870,0,0
경기 성남시,나침반 작은도서관,0,1200,0,0
경기 용인시,남사면 작은도서관,26,7000,0,0
경기 고양시,낮은하늘어린이도서관,400,15391,3,6
경기 안양시,내방새,301,5880,0,0
경기 의왕시,내손e편한세상 도서관,183,2568,0,0
경기 의왕시,내손책고운도서관,1300,23214,8,8
경기 포천시,내촌작은도서관,809,3013,2,10
경기 광명시,넓은세상 작은도서관,1000,16253,3,7
경기 광명시,넝쿨 어린이 작은도서관,240,7500,3,8
경기 성남시,넥슨작은책방 도서관,0,1324,0,0
경기 군포시,노루목작은도서관,136,4423,7,7
경기 의정부시,녹양동작은도서관,351,14314,3,14
경기 성남시,논골작은도서관,1728,5984,3,3
경기 화성시,놀러와,348,2641,1,1
경기 군포시,농심,90,4800,0,10
경기 안성시,농협안성교육원 농업도서관,300,23000,0,0
경기 부천시,누리마루작은도서관,1000,9000,1,6
경기 김포시,누리봄문고,477,25082,0,2
경기 부천시,누리작은도서관,0,8000,0,0
경기 군포시,누림과나눔작은도서관,30,3055,0,0
경기 안산시,뉴새마을도서관,1619,18833,0,6
경기 안양시,느린소,400,2075,0,0
경기 안양시,느티나무,479,6626,0,0
경기 군포시,느티나무도서관,200,3200,1,1
경기 안산시,늘사랑 문고,0,1000,0,0
경기 화성시,늘푸른,697,9830,0,0
경기 가평군,늘푸른상상력도서관,0,4500,0,7
