지역,도서관명,상호대차 유무,순회사서 유무,지원 여부,지원인력,지원예산,지원장서,지원프로
강원 춘천시,책날개어린이도서관,그렇지 않다,그렇다,그렇다,1,935200,108,3
강원 춘천시,책드림도서관,그렇지 않다,그렇다,그렇다,2,7900000,700,2
강원 동해시,천곡동 새마을문고,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 양양군,천복작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 고성군,천진문고,그렇지 않다,그렇지 않다,그렇다,0,0,208,0
강원 태백시,철암도서관,그렇지 않다,그렇다,그렇다,0,1000000,0,0
강원 원주시,청소년 문고,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 횡성군,청일면 버들골작은도서관,그렇지 않다,그렇지 않다,그렇다,0,0,0,0
강원 강릉시,초당작은도서관,그렇다,그렇지 않다,그렇지 않다,0,0,0,0
강원 동해시,초록도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 춘천시,춘천YMCA푸름이도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 원주시,큰사랑문고,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 정선군,탄광촌 생명의 양식문고,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 태백시,태백 인표어린이도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 원주시,태장도서관,그렇다,그렇지 않다,그렇지 않다,0,0,0,0
강원 강릉시,포남어울림작은도서관,그렇다,그렇지 않다,그렇지 않다,0,0,0,0
강원 원주시,푸른초장 작은도관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 화천군,하남옹달샘작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 홍천군,하늘마루 작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 강릉시,하슬라작은도서관,그렇다,그렇지 않다,그렇지 않다,0,0,0,0
강원 태백시,한빛사랑문고,그렇지 않다,그렇지 않다,그렇다,0,1000000,0,0
강원 강릉시,한송작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 양양군,해누리글터 작은도서관,그렇지 않다,그렇지 않다,그렇다,0,1250000,0,0
강원 태백시,햇살 도서관,그렇지 않다,그렇지 않다,그렇다,0,1000000,0,0
강원 원주시,햇살작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 평창군,행복한 문고,그렇지 않다,그렇지 않다,그렇다,0,10000000,0,0
강원 태백시,행복한도서관,그렇지 않다,그렇지 않다,그렇다,0,1000000,0,0
강원 횡성군,횡성느티나무작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 원주시,흥업작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 홍천군,희망 숲 작은도서관,그렇지 않다,그렇지 않다, ,0,0,0,0
강원 태백시,희망의문고,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 파주시,(사)행복한아침독서 책마을도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 성남시,1318하랑작은도서관,그렇지 않다,그렇지 않다,그렇다,0,0,181,0
경기 고양시,7단지 숲속도서관,그렇지 않다,그렇지 않다,그렇다,0,2000000,0,0
경기 양주시,BOOK소리작은도서관,그렇지 않다,그렇지 않다,그렇다,0,1200000,103,0
경기 고양시,Book Tree(북트리),그렇지 않다,그렇지 않다,그렇다,0,3000000,0,0
경기 남양주시,ESR영어작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 의정부시,HAHA Asian Library,그렇지 않다,그렇지 않다,그렇다,0,3750000,0,0
경기 안산시,HJ제니스작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 오산시,KCC스위첸아파트 작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 군포시,LG신산본자이2차아파트문고,그렇지 않다,그렇다,그렇지 않다,0,0,0,0
경기 평택시,THE기쁜어린이도서관,그렇지 않다,그렇지 않다,그렇다,0,9000000,10,0
경기 양주시,TS푸른솔작은도서관,그렇지 않다,그렇지 않다,그렇다,0,1200000,84,0
경기 남양주시,가곡힘찬문고,그렇지 않다,그렇지 않다,그렇다,0,2000000,171,1
경기 의정부시,가능1동작은도서관,그렇다,그렇지 않다, ,0,0,0,0
경기 의정부시,가능2동작은도서관,그렇다,그렇지 않다, ,0,0,0,0
경기 의정부시,가능3동작은도서관,그렇다,그렇지 않다, ,0,0,0,0
경기 김포시,가온누리 작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 성남시,가온누리작은도서관,그렇다,그렇다,그렇다,0,5000000,204,0
경기 남양주시,가운4단지문고,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 남양주시,가운휴먼시아5단지 도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 고양시,가좌대우푸르지오,그렇지 않다,그렇지 않다,그렇다,0,2000000,0,0
경기 화성시,갈담 작은도서관,그렇다,그렇지 않다,그렇다,0,5000000,200,2
경기 성남시,갈보리 작은도서관,그렇지 않다,그렇다,그렇지 않다,0,0,0,0
경기 시흥시,감나무골작은도서관,그렇다,그렇다,그렇다,0,0,0,0
경기 남양주시,강변교회 어린이도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 남양주시,강변해태아파트 도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 양평군,강상작은도서관 ,그렇지 않다,그렇지 않다,그렇다,0,0,0,0
경기 고양시,강아지똥 어린이도서관,그렇지 않다,그렇지 않다,그렇다,0,3000000,0,0
경기 고양시,강촌공원 5분걸음 예쁜도서관,그렇지 않다,그렇지 않다,그렇다,0,0,0,0
경기 양평군,강하 작은 도서관,그렇지 않다,그렇지 않다,그렇다,0,0,0,0
경기 양주시,개척병영작은도서관,그렇지 않다,그렇지 않다,그렇다,0,0,65,0
경기 파주시,거북작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 시흥시,건영1차아파트,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 남양주시,건영리버파크아파트문고,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 용인시,건영캐스빌상앗대문고,그렇지 않다,그렇지 않다,그렇다,0,0,300,0
경기 시흥시,검바위초작은도서관,그렇지 않다,그렇지 않다, ,0,0,0,0
경기 성남시,겨자씨작은도서관,그렇지 않다,그렇지 않다,그렇다,0,0,0,2
경기 양주시,격파병영작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 수원시,경기다문화 도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 용인시,경남꿈모아도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 용인시,경남초록작은도서관,그렇지 않다,그렇지 않다,그렇다,0,0,200,0
경기 남양주시,경성큰마을 작은도서관,그렇지 않다,그렇지 않다,그렇다,0,680000,615,1
경기 평택시,고궁마을문고,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 연천군,고대산병영도서관,그렇지 않다,그렇지 않다, ,0,0,0,0
경기 수원시,고등동 새마을문고,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 부천시,고리울꿈터작은도서관,그렇다,그렇지 않다, ,0,0,0,0
경기 용인시,고매2통 작은도서관,그렇지 않다,그렇지 않다, ,0,0,0,0
경기 고양시,고양 작은도서관,그렇지 않다,그렇다,그렇다,0,0,0,0
경기 고양시,고양윤창 작은도서관,그렇지 않다,그렇지 않다,그렇다,0,0,0,0
경기 오산시,고인돌도서관,그렇지 않다,그렇지 않다,그렇다,0,0,140,0
경기 안산시,고잔2동당곡작은도서관,그렇다,그렇지 않다, ,0,0,0,0
경기 안산시,고잔차세대작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 김포시,고촌 작은도서관,그렇다,그렇지 않다,그렇다,0,0,0,0
경기 오산시,고현초도서관,그렇지 않다,그렇지 않다,그렇다,0,0,0,0
경기 수원시,곡선동 새마을문고,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 김포시,곡촌마을 다솜 작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 성남시,공감의 뜰작은도서관,그렇지 않다,그렇지 않다, ,0,0,0,0
경기 군포시,공군 제8249부대,그렇지 않다,그렇지 않다, ,0,0,0,0
경기 안성시,공도새마을문고 청소년공부방,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 시흥시,공룡도서관(거모복지관),그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 수원시,공부잘하는 독서학교,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 고양시,관산 작은도서관,그렇지 않다,그렇지 않다,그렇다,0,0,0,0
경기 고양시,관산주공아파트도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 안양시,관양2동 주민센터,그렇다,그렇지 않다, ,0,0,0,0
